,name,description,cluster
1543,Менеджер по работе с СНГ,"Разработка стратегии продаж оборудования, формирование плана продаж, имиджа и позиционирования  компании «URBAN» на рынке СНГ.



Совместная работа с коммерческим отделом, отделом логистики и международных отношений, сервисно-монтажной службой, отделом маркетинга.



Работа с поставщиками сельхозоборудования в странах СНГ.



Согласование и подписание контрактов поставок оборудования. Организация и сопровождение импорта оборудования на территорию СНГ. Представление интересов компании на территории СНГ, формирование дилерской сети, работа по увеличению продаж и «узнаваемости» бренда. 



Продажи и сопровождение проектов



Проведение переговоров, разработка технологических схем и решений для проектирования животноводческих комплексов в т.ч. «Интеллектуальных ферм». Работа с конечными клиентами и  дилерами. Сопровождение контрактов от фазы переговоров до ввода оборудования в эксплуатацию.



Маркетинг 

Организация и проведение российских и международных выставок, тренингов и семинаров. Создание рекламных каталогов и буклетов продукции компании, реклама компании в СМИ



Достижения

Создание имиджа компании, как сильного и надежного поставщика оборудования для животноводства в страны СНГ.



Ведение переговоров и подписание контрактов на представительство и поставку оборудования на рынок СНГ.



Формирование  линейки продукции, прейскурантов оборудования, коммерческих предложений на поставку оборудования.



Внедрение в животноводческий бизнес инновационных технологий.



Консультирование и поставка оборудования контрагентам в СНГ (агрохолдинги  и животноводческие хозяйства)



Организация и проведение ключевых российских и международных выставок (Евротир, Золотая Осень, Агроферма, Агрокомплекс и др.), обучающих семинаров и тренингов для дилеров и сотрудников компании, участие и выступление на районных и  областных совещаниях в различных регионах РФ. Разработка стратегии продаж оборудования, формирование плана продаж, имиджа и позиционирования  компании на рынке СНГ.",29
1545,Заместитель Генерального Директора,"Стратегическое развитие компании

Разработка стратегии развития компании, формирование плана продаж, имиджа и позиционирования  компании на рынке.



Руководство сотрудниками компании                                                                           Непосредственное руководство коммерческим отделом, отделом логистики и международных отношений, сервисно-монтажной службой, отделом маркетинга.



Работа с иностранными и российскими производителями

Выбор поставщиков оборудования и ведение переговоров о сотрудничестве. Составление, согласование и подписание контрактов поставок оборудования. Организация и сопровождение импорта оборудования на территорию РФ. Представление интересов производителей оборудования на территории РФ, формирование дилерской сети, работа по увеличению продаж и «узнаваемости» брендов. 



Продажи и сопровождение проектов

Проведение переговоров, разработка технологических схем и решений для проектирования животноводческих комплексов в т.ч. «Интеллектуальных ферм». Сопровождение и продажа полного спектра оборудования в т.ч. доильных роботов «Lely» для строительства животноводческих комплексов «под ключ», а также точечные продажи. Работа с конечными клиентами и  дилерами. Сопровождение контрактов от фазы переговоров до ввода оборудования в эксплуатацию.



Маркетинг 

Организация и проведение российских и международных выставок, тренингов и семинаров. Создание рекламных каталогов и буклетов продукции компании, реклама компании в СМИ



Достижения

Основание  и руководство компанией «Фермы Ясногорья». Формирование отделов компании, обучение сотрудников, разработка системы мотиваций. 



Создание «Команды компании», формирование и поддержание «Командного духа». 





Доведение годового оборота компании за два года с нуля до нескольких миллионов Евро в год. 



Создание имиджа компании, как сильного и надежного поставщика оборудования для животноводства.



Ведение переговоров и подписание контрактов на представительство и поставку на Российский рынок продукции известных мировых производителей оборудования для животноводства, таких как: Lely Industries NV (Голландия), Suevia Haiges GMBH (Германия), Kraiburg Elastik GMBH (Германия), Franz Eisele u. Soehne GMBH (Германия), Urban GMBH & Co. KG (Германия), Huesker Synthetic GMBH (Германия), Rosensteiner GesmbH (Германия), Pellonpaja Oy (Финляндия). Логистика и таможенная очистка оборудования из Европы в РФ.



Формирование  линейки продукции, прейскурантов оборудования, коммерческих предложений на поставку оборудования.



Внедрение в животноводческий бизнес инновационных технологий в т.ч.  понятия «Интеллектуальная ферма».



Ведение переговоров и создание дилерской сети по продаже оборудования в таких регионах РФ, как: Московская Калужская, Рязанская, Владимирская, Ярославская, Ленинградская, Белгородская, Ростовская и др. области; Пермский, Алтайский, Краснодарский, Ставропольский, Приморский и др. края; Республики Татарстан, Башкортостан, Мордовия, Марий Эл, Удмуртия, Северная Осетия и др.



Консультирование и поставка оборудования более, чем 400 контрагентам в РФ (агрохолдинги  и животноводческие хозяйства в Московской, Ленинградской, Белгородской, Орловской, Нижегородской, Липецкой, Воронежской, Рязанской, Иркутской, Новосибирской, Амурской и др. областях; Ставропольском, Краснодарском, Алтайском, Пермском и др. краях; Республиках Татарстан, Удмуртия, Башкортостан, Мордовия, Марий Эл, Северная Осетия и др.



Создание имиджевой составляющей компании: названия, логотипа, девиза, каталогов продукции, буклетов, рекламных модулей и статей, сувенирной продукции и пр.



Организация и проведение ключевых российских и международных выставок (Евротир, Золотая Осень, Агроферма, Агрокомплекс и др.), обучающих семинаров и тренингов для дилеров и сотрудников компании, участие и выступление на районных и  областных совещаниях в различных регионах РФ.",29
1541,Руководитель отдела продаж по России и странам СНГ,"Управление отделом продаж представительства голландской компании «Lely» (производство роботов для доения и кормления коров) в России и странах СНГ. Общий штат компании составляет 15 сотрудников. Прямое подчинение генеральному директору Lely Rus. Непосредственное руководство отделом продаж Lely Rus – 3 сотрудника. Управление дилерской сетью в России и СНГ (19 дилеров - «Лели-Центры», количество сотрудников более 150 человек).
Задачи:
Продажа оборудования в России и странах СНГ. Разработка, согласование и реализация бизнес-плана продаж оборудования на 2020, 2021, 2022 годы. Управление и формирование дилерской сети, обучение, супервизия, формирование стратегии продаж, презентация оборудования и сервиса в России и странах СНГ.
Координация работы всех подразделений компании в России (отдел продаж, сервисного и послепродажного обслуживания, отдел логистики и взаимодействия с клиентами, отдел маркетинга), работа с заводом-производителем в Голландии.
Ведение переговоров, формирование коммерческих предложений, поддержка продажи и установки непосредственно конечному покупателю.
Работа с лизинговой компанией DLL leasing (Голландия), кредитными учреждениями и банками.
Работа с региональными министерствами сельского хозяйства, включая программы субсидирования оборудования.
Организация и проведение региональных и международных презентационных и маркетинговых мероприятий, в т.ч. выставки.
Организация и проведение визитов на заводы-производители и животноводческие фермы потенциальных клиентов в странах Европы (Голландия, Германия, Австрия, Швейцария), а также в России и странах СНГ.

Достижения:
Увеличение продаж оборудования в 2020 году по сравнению с продажами в 2019 году на 80%. Увеличение  продаж оборудования в 2021 году по сравнению с продажами 2020 года на 65%. 
Поддержание и формирование имиджа компании как производителя надежного и адаптированного для эксплуатации в России и СНГ оборудования. Позиционирование компании, для которой в первую очередь важен довольный клиент, сервис 24/7, устранение любой неисправности оборудования в течение 4-х часов после обращения клиента в сервисную службу, а не только продажа.
Формирование, бесконфликтное и успешное управление не только командой компании, но и командой дилерской сети.",29
1546,Руководитель отдела по работе с региональными клиентами (01.03.06 – 20.03.09),"Руководство отдела по работе с региональными клиентами 

Формирование дилерской сети компании на территории РФ

Прямые продажи клиентам и курирование проектов                                                                             Выбор, переговоры и подписание контрактов с иностранными и российскими производителями

Маркетинг и реклама

Организация и проведение выставок, обучающих семинаров и тренингов

Обучение сотрудников компании линейке продукции оборудования

Разработка стратегии развития компании и позиционирования на рынке 



Достижения

Основание  и руководство компанией «ИГЛУС». Создание имиджа компании, как сильного и надежного поставщика оборудования для животноводства.



Курирование и доработка проекта «Индивидуальный домик теленка». Повсеместное распространение на территории РФ «Холодного метода содержания телят».



Ведение переговоров и подписание контрактов на представительство и поставку на Российский рынок продукции известных мировых производителей оборудования для животноводства, таких как: Suevia Haiges GMBH (Германия), Kraiburg Elastik GMBH (Германия), Holm&Laue GMBH & (Германия), Arntjen GMBH (Германия), Rosensteiner GesmbH (Германия).



Ведение переговоров с потенциальными дилерами и создание дилерской сети по продаже оборудования в различных регионах РФ.



Успешные продажи оборудования для животноводства на территории РФ.



Непосредственная работа в проекте «Щапово-Агротехно» - животноводческом комплексе на 600 голов дойного стада в качестве помощника управляющего.



Создание имиджевой составляющей компании: каталогов продукции, рекламных модулей и статей, сувенирной продукции и пр.



Организация и проведение ключевых российских и международных выставок, обучающих семинаров и тренингов для дилеров и сотрудников компании, участие и выступление на районных и  областных совещаниях в различных регионах РФ.",29
1730,"Лаборант в лаборатории по производству лечебно-профилактических препаратов, ветврач-дезинфектор, лаборант убойного цеха","Изготовление лечебно-профилактических препаратов, контроль за перемещением транспорта, его дезинфекция, ветеринарно-санитарная экспертиза продуктов убоя свиней и крс, оформление документации",30
4084,Системный администратор Славянского участка АО «Сварочно-монтажный трест»,"- Обеспечение бесперебойной работы сервера (RedHat), ЛВС, ПК (более 30 единиц) и оргтехники (более 20 единиц) на рабочих местах сотрудников компании. ; 

    - Осуществление оперативного ремонта и профилактики ЛВС, компьютерной и оргтехники с оформлением необходимой документации 

    - Поиск, заключение договоров и последующая работа с поставщиками компьютерных комплектующих, запчастей и расходных материалов для оргтехники. ; 

    - Приём/отправка компьютерной и оргтехники с/на другие участки АО «Сварочно-монтажный трест» с оформлением документации.",30
3457,"Лаборант лаборатории перегонных систем автоматики и блокировки, Лаборант лаборатории правил технической эксплуатации железных дорог","Занимался подготовкой стендов-тренажеров к работе, обслуживание и поддержание работы стендов-тренажеров, сборка новых стендов.",30
2258,Заведующий центральными машинно-тракторными ремонтными мастерским,"Обеспечение бесперебойной работы сельскохозяйственной техники (растениеводство, животноводство), оборудования, тракторов и грузовых автомобилей. Организация деятельности коллектива мастерской (штатная численность 30 чел.), обеспечение рабочего состояния станков и ремонтного оборудования. Проведение капитальных и текущих ремонтов всей техники предприятия. Составление дефектных ведомостей, заказ запасных частей и материалов, оформление отчетности по списанию ценностей, контроль оплаты труда, участие в разработке планов ремонта и ТО.",30
268,заведующий производственной лабораторией мясокомбината Частного акционерного общества «АПК-ИНВЕСТ».,"Должностные обязанности:  организация и проведение лабораторного контроля сырья, вспомогательных материалов, технологических процессов, готовой продукции, контроль санитарно-гигиенического состояния предприятия, разработка и участие в разработке стандартов предприятия, базовых программ контроля, внутренних инструкций, организация обучения персонала, координация работы с проверяющими органами – ветеринарного и санитарно-эпидемического надзора, получение разрешений на функционирование предприятия в государственных органах. Взаимозаменяемость с начальником Отдела производственно-ветеринарного контроля.",30
4292,"Инженер по трудоёмким процессам, Заведующий МТМ (Машинно-тракторная мастерская)","Контроль за выполнение и качеством ремонтов и тех. обслуживания сельскохозяйственной техники, тракторов и автомобилей. Разработка проекта и контроль за выполнением проекта по модернизации зерносушильного комплекса предприятия. Поиск оптимальных решений для восстановления работоспособности механизмов и узлов сельскохозяйственных машин. Поиск и доставка запчастей. Введение учета рабочего времени специалистов предприятия на ремонтах в МТМ. Введение отчетности по выполнению ремонтов и тех. обслуживанию техники. Выпуск техники на линию.",30
2912,Начальник лаборатории-ветеринарный врач,"Контроль качества поставляемого, закупаемого и хранящегося продовольствия, предназначенного для нужд Министерства Обороны РФ, на предмет соответствия ГОСТ, Сан Пин, законодательства РФ. Работа с документами удостаивающими качество и безопасность продовольствия. Контроль за соблюдением ветеринарно-санитарных норм и правил при приёмке, размещении, хранении,выдаче и транспортировке продовольствия.Отбор проб,органолептические,физико-химические лабораторные исследования.Ведение необходимой документации.Организация взаимодействия с надзорными органами и аккредитованными лабораториями. Составление отчётной документации.",31
904,Старший ветеринарный врач,"Мониторинг состояния здоровья свиней на свинокомплексах. 
Координация и контроль работы ветеринарных врачей на фермах. Назначение своевременного лечения и анализ эффективности данного лечения. Вакцинация животных. Проведение обязательных мониторингов для оценки статуса свинофермы. Отбор патологического материала и отправление в лабораторию на подтверждение заболеваний. Разработка ветеринарных мероприятий по предотвращению заболеваний и гибели животных. Ведение документации и ветеринарной отчетности. Взаимодействие с государственными службами. Разработка новых планов лечения свиней с целью оптимизации затрат и улучшения эффективности. Проведение экспериментов с использование новых вакцин и лечебных препаратов, и анализ полученных данных. Заключение договоров с контрагентами.",31
3483,Ветеринарный врач отдела контроля качества,"Осуществление контроля качества и температуры продукции на всех этапах производства в соответствии с нормативной документацией(ведение необходимых журналов), контроль качества отгружаемой продукции и выписка сопроводительной документации. Осуществление контроля за санитарным состоянием производственных, холодильных и складских помещений. Контроль температурного режима в морозильных камерах, а также температуры продукции на всех этапах технологического процесса производства с фиксацией результатов замеров в журналах. Допуск специально оборудованных транспортных средств к погрузке и дальнейшей транспортировке охлаждённой или замороженной продукции. Оформление сопроводительной документации на отгружаемую продукцию. Организация и контроль мойки и дезинфекции производственных и складских помещений. Отбор проб продукции и смывов для лабораторных исследований, составление актов и сопроводительных. Стажировка и обучение вновь пришедших специалистов.",31
4191,Ветеринарный консультант по работе с АПК,"Ведение переговоров. Прямой контакт с ветеринарным врачом/зоотехником для внедрения в схемы лечения ветеринарных препаратов, представителем которых я являюсь. Выявление проблематики в с/х, конструктивные предложения по снижению трудозатрат, выбраковки молока и мяса, экономических потерь, а так же эффективное сохранение первотелок отела.
Умение убеждать руководство с/х в необходимости проведения профилактических и лечебных мероприятий,невзирая на стоимость препаратов. Презентация новинок и увеличение ветеринарных препаратов в аптеке врача. 
Поиск новых клиентов, увеличение АКБ. ",31
1028,Ведущий ветеринарный врач,"Площадка по выращиванию бройлеров,система PATIO 1млн.200 тыс.голов.

КРОССЫ: Кобб,ROSS.

1.Составление заявок,бюджетов на вет.препараты.

2.Контроль и проведение вакцинаций (спрей метод,выпойки).

3.Проведение лечебно-профилактических мероприятий.

4. Подготовка корпусов к посадке птицы.Контроль текущей и заключительной дезинфекций.

5..Патологоанатомическое вскрытие.

6.Контроль за соблюдением правил биобезопасности .

7.Разработка и внедрение ветеринарных мероприятий по улучшению сохранности поголовья,при уменьшении затрат на ветеринарные препараты.",31
1507,Главный ветеринарный врач,"Вертикально-интегрированный холдинг, в составе:

свинокомплекс на 2500 свиноматок,

3 предприятия молочного животноводства с общим поголовьем 3000 голов,

2 предприятия мясного скотоводства с общим поголовьем 1000 голов,

комбикормовый цех, элеватор.

За период работы проведен аудит всех предприятий.

Разработаны и внедрены схемы лечения поголовья всех половозрастных групп свиней, разработаны  и внедрены инструкции и мероприятия по повышению уровня биобезопасности,  разработана нормативная документация по ведению учета и отчетности в ветеринарной службе, учету и заказу ветеринарных препаратов, контроль параметров содержания, соблюдения принципа ""пусто-занято"", качества мытья и дезинфекции. В результате проведенной работы повышена сохранность поголовья на 3%

Разработаны и внедрены схемы лечения поголовья для животноводческих предприятий,  внедрена УЗИ диагностика стельности и  репродуктивных патологий у КРС, внедрены схемы гормональной синхронизации охоты, снижена выбраковка поголовья по причинам заболеваний конечностей. Разработаны перспективные планы повышения сохранности поголовья и показателей воспроизводства.",31
558,Главный ветеринарный врач,"- контроль выполнения зоогигиенических и ветеринарных правил при содержании, кормлении животных.- обеспечение сохранности поголовья;
- профилактическая вакцинация животных, выполнение графика‚ проведение лечебно-профилактических процедур;
- диагностика заболеваний и назначение лечения;
- разработка схем лечения и профилактики заболеваний;
- карантинирование животных; 
- проведение лабораторных исследований;
- ведение документации, оформление отчетности;
- взаимодействие с государственными органами;
- соблюдать выполнение зоогигиенических и ветеринарных правил при содержании, кормлении животных и уходе за ними;
- оформлять ветеринарные документы и акты. регулярное вести записи в ветеринарных журналах согласно Ветеринарного законодательства;
- определять потребность хозяйства в биопрепаратах, медикаментах, дез. стредствах, обеспечивать своевременное представление заявок на предмет ветеринарного снабжения;
- осеменение КРС;
- УЗИ 

",31
4090,Главный ветеринарный врач,"Организация и контроль ветеринарно-профилактических и лечебных мероприятий на комплексе, составление заявок на лечебные и профилактические препараты , работа с фирмами поставщиками, составление договоров, ведение деловых переговоров, работа с Государственными ветеринарными надзорными органами, россельхознадзором, подготовка предприятия к проверкам, участие в проверках, составление актов и других документов, проведение мероприятий по биологической защите предприятия , получение зоосанитарного статуса ( компартмента), внесение предложений руководству об улучшении эпизоотической ситуации и усилению биологической безопасности предприятия, проведение разъяснительной работы среди работников предприятия, непосредственное участие в ветеринарно - профилактических мероприятиях, вскрытии трупов животных и постановки первичного диагноза. Назначение лечения. Плотный контакт с лабораторными диагностическими центрами, отбор и отправка биологического материала для мониторинга здоровья стада. Ведение необходимой учетно - отчетной документации, составление бюджета потребности в сырье на определенный период.",31
2602,Главный ветеринарный врач,"Координация работы ветперсонала отделений КРС (1000гол.) и СТФ (7000гол.),обеспечение лекарственными и ветеринарными препаратами, разработка схем лечения, профилактики, разработка схем вакцинаций и плана противоэпизоотических мероприятий, контроль за соблюдением правил дезинфекции, контроль качества, режима кормления, соблюдение рационов кормления, исследование молока на основные показатели и его отгрузка на молзаводы, контроль за обеспеченностью с/х отделений необходимой техникой, при необходимости подмена рядового ветперсонала на отделении СТФ при проведениии массовых вакцинаций и кастраций, полная лечебная работа на отделениях КРС ( хирургия, акушерство, терапия и пр.), при необходимости проведение ИО КРС. Контроль за Выполнение плана ВПМ, отбор санбрака на отделении СТФ, отбор свиней и молодняка КРС для реализации.",31
4089,Старший ветеринарный врач,"Организация и контроль лечебно-профилактических  мероприятий на производственных площадках, подготовка площадок к приему поголовья, прием поголовья, запуск площадок. Подготовка предприятий к проверкам, участие в проверках, проведение мероприятий по усилению биологической защиты предприятий , внесение предложений руководству об улучшении эпизоотической ситуации и усилению биологической безопасности предприятия, непосредственное участие в ветеринарно - профилактических и лечебных мероприятиях, вскрытии трупов животных и установки первичного диагноза, отбор биоматериала для дальнейшего исследования в диагностических центрах. Назначение лечения. Ведение необходимой учетно - отчетной  и др. документации. Составление ежемесячных заявок потребности в сырье на определенный период. Проведение постоянной разъяснительной работы среди обслуживающего персонала о необходимости соблюдения правил биологической безопасности, санитарии и личной гигиены.",31
1505,ведущий ветеринарный врач по воспроизводству,"Поголовье 5000 голов дойного стада (голштины и черно-пестрые), 6000 молодняка, подсобная свиноферма на 600 голов). 9 производственных площадок (комплексы на 2000 и 1000 голов - 3 отделения, привязное содержание 2 отделения, выращивание молодняка и откорм 4 отделения), в подчинении 9 технологов по воспроизводству.
За период работы проведен аудит деятельности всех животноводческих подразделений в части воспроизводства стада, составлен отчет, разработаны планы мероприятий по повышению эффективности воспроизводства (перспективные и текущие) . Разработаны  и внедрены схемы синхронизации, внедрена единая система учета  в программе Dairy Comp в части воспроизводства. Разработаны мероприятия по оптимизации деятельности техников ИО (внедрение мобильной бригады осеменаторов), разработана система мотивации техников биологов. Разработан комплекс мероприятий по повышению эффективности профилактики послеродовых заболеваний. Проведено обучение специалистов ветеринарной службы методике УЗИ. Систематическое проведение УЗИ стельности на части отделений. Проведена оценка репродуктивной функции коров и телок, анализ причин выбраковки, в частности по гинекологическим причинам, разработаны методы снижения. 
Проведена оценка работы штатных ортопедов хозяйства, разработан план по улучшению ситуации по хромоте в стаде.
",31
4088,Главный ветеринарный врач,"Организация и контроль ветеринарно-профилактических и лечебных мероприятий на комплексах, Работа с Государственными ветеринарными и др. надзорными органами, подготовка предприятий к проверкам, участие в проверках, составление актов и др. документов на основании проверок, проведение мероприятий по усилению биологической защиты предприятий , подготовка площадок и получение зоосанитарного статуса ( компартмента), внесение предложений руководству об улучшении эпизоотической ситуации и усилению биологической безопасности предприятий. Участие в ветеринарно - профилактических мероприятиях, вскрытии трупов животных и постановки первичного диагноза. Назначение лечения. Плотный контакт с лабораторными диагностическими центрами, отбор и отправка биологического материала для мониторинга здоровья стада. Ведение необходимой учетно - отчетной документации, составление бюджета потребности в сырье на определенный период, участие в тендерах и выборе поставщиков.Заключение договоров, ведение деловых переговоров.
Проведение постоянной разъяснительной работы среди обслуживающего персонала о необходимости соблюдения правил биологической безопасности, санитарии и личной гигиены.",31
